episode,total_reward
1,-63200.68695648664
2,-70684.84922715825
3,-70681.23676410696
4,-70683.44093403916
5,-70680.01157608864
6,-70680.41684905502
7,-70682.09188891236
8,-70680.14830639021
9,-70839.08124496134
10,-70675.50559987233
11,-70680.76661553861
12,-70679.81472019968
13,-70681.09211027948
14,-70679.45259802688
15,-70678.76257664876
16,-70682.85730613886
17,-70682.22300717834
18,-70680.45749525029
19,-70680.99446490541
20,-70678.05333782572
21,-70678.82506882491
22,-70679.42814069046
23,-70683.05160863951
24,-70680.74971216216
25,-70527.68884366594
26,-70834.1452072693
27,-70679.97886837317
28,-70683.00794523675
29,-69273.19159768429
