episode,total_reward
1,-65.42234281376173
2,-327.03189882993684
3,-327.95755045363165
4,-278.7113737767611
5,-241.39260531370007
6,-290.83622709776955
7,-210.12144700828156
8,-289.84791878449676
9,-261.6450373992977
10,-280.76193886439137
11,-235.00222428852362
12,-356.60386455583034
13,-310.38017443686624
14,-321.7492464853089
15,-276.9244303878692
16,-196.93962665592133
17,-293.0907433589615
18,-316.97263144200076
19,-304.8333035075179
20,-333.630817922639
21,-279.3226706464486
22,-304.88917922995535
23,-353.1114497952859
24,-272.8346457107134
25,-286.32214227951476
26,-198.61399709914656
27,-257.9582493232914
28,-284.8225516713819
29,-331.8109008566382
30,-253.63096828865173
31,-224.27393995082906
32,-239.59834626729403
33,-331.38045011040117
34,-323.7156476042884
35,-306.0682507307566
36,-250.45766259597534
37,-243.80956902505633
38,-314.7776134830593
39,-793.1017568067583
40,-301.52710702223675
