episode,total_reward
1,-411.32840817612936
2,-427.91626532166305
3,-238.5848012391242
4,-430.5438218099182
5,-551.77273236191
6,-439.5353812380507
7,-524.4778257858653
8,-662.5522080122615
9,-546.4921780102301
10,-447.9233464332003
11,-5382.348869736161
12,-8066.053521117271
13,-7087.2804738097975
14,-6844.310710005171
15,-4737.330066661376
16,-1761.2256450729567
17,-2097.508104616706
18,-2898.997323088899
19,-4017.67137987571
20,-2912.583831702004
21,-3971.877508456495
22,-3930.793583742973
23,-4975.919215717912
24,-2004.3433991730265
25,-1974.841917065662
26,-2451.8372025103185
27,-2223.7708050999386
28,-4391.4181120389185
29,-4320.13788834456
30,-4153.764563388152
31,-4277.3776775923625
32,-4921.826172855024
33,-4575.245474632376
34,-5074.89125240896
35,-3000.7334960021126
36,-2310.407972423834
37,-2329.3755775242616
38,-2400.185477694629
39,-2590.37134656705
40,-3374.1824006206757
41,-3901.7990991624074
42,-6093.262864615586
43,-7073.769965530522
44,-7522.622230375145
45,-8043.3780529986225
46,-8067.674056151888
47,-7799.3458748286275
48,-7779.333581656552
49,-6158.8915538092915
50,-5421.954275983547
51,-5063.204377894392
52,-6008.874751514322
53,-6220.704681841482
54,-7687.389605987108
55,-7632.170377252144
56,-7569.835300882401
57,-7437.75602013496
58,-7373.3678252570635
59,-7523.940181592009
60,-7254.407913683675
61,-6801.030171767677
62,-6914.23293669624
63,-6607.592598744347
64,-6326.854634112015
65,-4405.838078776442
66,-4425.0280539031655
67,-4468.034443462635
68,-4362.6029820499125
69,-4069.024277436767
70,-3913.6349203359505
71,-3438.8407160870893
72,-3240.3512430343626
73,-2949.5215452383122
74,-5665.587378212946
