episode,total_reward
1,-219.05405132137693
2,-133.27517636786945
3,-218.15299227155492
4,-219.596644588262
5,-235.3533447877898
6,-219.87493275103395
7,-216.44378189967586
8,-207.35394048323647
9,-210.6395459355341
10,-210.94070739610453
11,-224.38570505251687
12,-298.7906890565935
13,-233.46459568399104
14,-217.52802672391633
15,-261.0215184333538
16,-271.75468832682833
17,-238.4351339456463
18,-242.18297864502287
19,-294.773626413575
20,-522.4962540079695
21,-228.39722996338395
22,-227.57512756303367
23,-218.972083584318
24,-229.70992378412393
25,-231.39637620628037
26,-214.55342239571166
27,-213.5564765617401
28,-217.24169322120636
29,-223.328142823224
30,-219.81216903568506
31,-206.8195734312065
32,-223.78361356720467
33,-217.85899413465864
34,-217.05051619307983
35,-220.71675187081235
36,-216.70605557339763
37,-232.40460246706726
38,-227.37963968426016
39,-228.11655149253758
40,-444.61101993596566
41,-224.80089677278795
42,-210.30927992006266
43,-216.13296571894205
44,-225.1691245760528
45,-225.6329431330978
46,-220.04474067874224
47,-218.30305926632434
48,-234.51189221369364
49,-230.96261814073205
50,-220.90789890341247
51,-218.42272057196814
52,-222.09836331843738
53,-214.95315210669844
54,-215.88223732269444
55,-219.93300039888544
56,-212.61678621791629
57,-221.78908695105306
58,-348.54250610300153
59,-221.2164088472053
60,-226.01700587172485
61,-217.37057146020504
62,-226.5524691837952
63,-216.46338192616247
64,-227.00460159059452
65,-217.45437978423416
66,-220.26582601905616
67,-230.48884862612408
68,-218.0108522004553
69,-212.86824417559987
70,-217.07549573352466
71,-229.73462273853332
72,-232.55487514793072
73,-215.2032549186442
74,-213.5544396668558
75,-213.01169696855658
76,-215.0989949699083
77,-227.43023213879906
78,-222.71277158995218
79,-222.11155555890934
80,-228.58626770214696
81,-220.64060645514897
82,-214.9113570679941
83,-221.99072000633856
84,-219.2250319167581
85,-231.92693387708164
86,-217.83318928468333
87,-221.87888271385057
88,-228.14008230218187
89,-213.23051388762673
90,-230.61617019223806
91,-219.80542379488259
92,-216.14155119579462
93,-225.29317842787384
94,-218.4019985520551
95,-219.86601170800083
96,-214.5761939328126
97,-234.66296126653566
98,-224.23114166922352
99,-222.80910444018104
100,-238.6683379925078
101,-222.00076036087682
102,-220.46959786706768
103,-221.86419031765047
104,-218.68579903167773
105,-220.1813040442746
106,-216.71608986446958
107,-213.91375635817997
108,-219.7131129299411
109,-228.1927686854114
110,-224.59897717067867
111,-228.64054077429535
112,-532.7511685853825
113,-23.458782305162487
