episode,total_reward
1,-68.99466540813626
2,-279.8028328230692
3,-146.7315609116706
4,-169.86822740174875
5,-181.85334845680524
6,-164.81072503077735
7,-159.9712673974526
8,-166.1632043474046
9,-167.52462298017068
10,-177.22554057728863
11,-201.71233701703295
12,-164.84954674097193
13,-192.53922200207853
14,-204.12582783220992
15,-135.47070403843233
16,-190.2797035161925
17,-154.2232891702464
18,-184.94625459240854
19,-168.68930091118966
20,-192.01046264323315
21,-163.09406582335535
22,-172.3708061003375
23,-162.43543174151253
24,-173.97550656352126
25,-168.6456390877642
26,-172.53989194357672
27,-194.11130040233903
28,-161.96694660631044
29,-162.80197172730817
30,-130.49068137317224
31,-173.78877806855252
32,-133.4955503908619
33,-89.64063514456647
34,-118.05251054195521
35,-111.45805228303219
36,-111.5926091719353
37,-119.26592971775352
38,-119.68400820982352
39,-113.20679096031266
40,-102.75230269119953
41,-101.55667653278942
42,-94.41773128402812
43,-137.00389469304622
44,-132.6424836859741
45,-165.89090458698854
46,-149.94593154529645
47,-166.35349188268378
48,-173.10958306128822
49,-186.885532026397
50,-177.3855335373699
51,-192.1950462774791
52,-222.81726310430855
53,-85.29656018607167
54,-192.90513945687624
55,-203.159599940728
56,-182.40776497262294
57,-190.68102086250337
58,-164.0801721005699
59,-1383.4303144978712
60,0.0
61,-90.13388359779242
62,-284.4436259263308
63,4.053523477491559
64,-633.4365169855564
65,0.0
66,-526.4455757885686
67,0.0
68,8.912150189840013
69,38.79439599784786
70,-80.91220616165941
71,-273.70364435701435
72,0.0
73,-29.330025325954153
74,-355.1757204763087
75,0.0
76,-238.9952720843558
77,-149.41840782027342
78,-158.86259652112287
79,-167.4596993042269
80,-174.98320578228817
81,-194.34158220705075
82,-176.00574266004185
83,-176.71593218955422
84,-202.17457255205392
85,-166.2228176384534
86,-179.81288934032932
87,-178.24318441294696
88,-162.48096475718057
89,-166.89208366241564
90,-152.04973520329295
91,-193.74226847351028
92,-161.20591069616094
93,-141.49136488179875
94,-196.62270690976888
95,-161.12661084044197
96,-159.6650988081623
97,-171.5073914808556
98,-191.28140039668008
99,-153.64466154932484
100,-181.9545237363149
101,-129.93989173048863
102,-101.62119165220844
103,-140.2286410848683
104,-145.3511052785234
105,-145.97457468104682
106,-134.49473008413025
107,-105.73675349192754
108,-103.96995433113501
109,-118.15134448663906
110,-151.04692346448383
111,-85.43531667964679
112,-215.52656847926255
113,-155.07275870618633
114,-160.21500667370842
115,-225.28824559817832
116,-222.7097307059147
117,-200.44774370597364
118,-235.63974615168527
119,-199.39567097817243
120,-210.1921774006997
